host,app,status
S-DC-EXC0404,Replication,ok
S-DC-EXC0404,MRS,ok
S-DC-EXC0404,MAPI-Connectivity,ok
S-DC-EXC0404,Maintenance,ok
S-DC-EXC0404,Active DBs,ok
S-DC-EXC0404,Passive DBs,ok
S-DC-EXC0404,Disks,ok
S-DC-EXC0404,BitLocker,ok
S-DC-EXC0404,Anti-Malware,ok
S-DC-EXC0404,PendingReboot,ok
S-DC-EXC0405,OWA,ok
S-DC-EXC0405,MAPI,ok
S-DC-EXC0405,RPC,ok
S-DC-EXC0405,Autodiscover,ok
S-DC-EXC0405,Powershell,ok
S-DC-EXC0405,EWS,ok
S-DC-EXC0405,ECP,ok
S-DC-EXC0405,OAB,ok
S-DC-EXC0405,Services,ok
S-DC-EXC0405,Replication,ok
S-DC-EXC0405,MRS,ok
S-DC-EXC0405,MAPI-Connectivity,ok
S-DC-EXC0405,Maintenance,ok
S-DC-EXC0405,Active DBs,ok
S-DC-EXC0405,Passive DBs,ok
S-DC-EXC0405,Disks,ok
S-DC-EXC0405,BitLocker,no
S-DC-EXC0405,Anti-Malware,ok
S-DC-EXC0405,PendingReboot,ok
S-DC-EXC0406,OWA,ok
S-DC-EXC0406,MAPI,ok
S-DC-EXC0406,RPC,no
S-DC-EXC0406,Autodiscover,ok
S-DC-EXC0406,Powershell,ok
S-DC-EXC0406,EWS,ok
S-DC-EXC0406,ECP,ok
S-DC-EXC0406,OAB,no
S-DC-EXC0406,Services,ok
S-DC-EXC0406,Replication,ok
S-DC-EXC0406,MRS,ok
S-DC-EXC0406,MAPI-Connectivity,no
S-DC-EXC0406,Maintenance,ok
S-DC-EXC0406,Active DBs,ok
S-DC-EXC0406,Passive DBs,ok
S-DC-EXC0406,Disks,ok
S-DC-EXC0406,BitLocker,ok
S-DC-EXC0406,Anti-Malware,ok
S-DC-EXC0406,PendingReboot,ok
S-DC-EXC0407,OWA,ok
S-DC-EXC0407,MAPI,ok
S-DC-EXC0407,RPC,ok
S-DC-EXC0407,Autodiscover,ok
S-DC-EXC0407,Powershell,ok
S-DC-EXC0407,EWS,ok
S-DC-EXC0407,ECP,ok
S-DC-EXC0407,OAB,ok
S-DC-EXC0407,Services,ok
S-DC-EXC0407,Replication,ok
S-DC-EXC0407,MRS,ok
S-DC-EXC0407,MAPI-Connectivity,ok
S-DC-EXC0407,Maintenance,ok
S-DC-EXC0407,Active DBs,ok
S-DC-EXC0407,Passive DBs,ok
S-DC-EXC0407,Disks,ok
S-DC-EXC0407,BitLocker,ok
S-DC-EXC0407,Anti-Malware,no
S-DC-EXC0407,PendingReboot,ok
S-DC-EXC0408,OWA,no
S-DC-EXC0408,MAPI,ok
S-DC-EXC0408,RPC,ok
S-DC-EXC0408,Autodiscover,ok
S-DC-EXC0408,Powershell,ok
S-DC-EXC0408,EWS,ok
S-DC-EXC0408,ECP,ok
S-DC-EXC0408,OAB,ok
S-DC-EXC0408,Services,ok
S-DC-EXC0408,Replication,ok
S-DC-EXC0408,MRS,ok
S-DC-EXC0408,MAPI-Connectivity,ok
S-DC-EXC0408,Maintenance,ok
S-DC-EXC0408,Active DBs,ok
S-DC-EXC0408,Passive DBs,ok
S-DC-EXC0408,Disks,ok
S-DC-EXC0408,BitLocker,ok
S-DC-EXC0408,Anti-Malware,ok
S-DC-EXC0408,PendingReboot,ok
S-DC-EXC0501,OWA,no
S-DC-EXC0501,MAPI,ok
S-DC-EXC0501,RPC,ok
S-DC-EXC0501,Autodiscover,ok
S-DC-EXC0501,Powershell,ok
S-DC-EXC0501,EWS,ok
S-DC-EXC0501,ECP,ok
S-DC-EXC0501,OAB,ok
S-DC-EXC0501,Services,ok
S-DC-EXC0501,Replication,ok
S-DC-EXC0501,MRS,ok
S-DC-EXC0501,MAPI-Connectivity,no
S-DC-EXC0501,Maintenance,ok
S-DC-EXC0501,Active DBs,ok
S-DC-EXC0501,Passive DBs,ok
S-DC-EXC0501,Disks,ok
S-DC-EXC0501,BitLocker,ok
S-DC-EXC0501,Anti-Malware,ok
S-DC-EXC0501,PendingReboot,ok
